Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,8,ATL,Drake London,WR,21,2023,0,0,1,16,16,33,1,1,22,0,0,0,0,0,141,1771,6,2,,,USC,College Stats,LondDr00
1,10,NYJ,Garrett Wilson,WR,22,2023,0,0,1,15,15,34,0,2,0,0,0,8,4,0,178,2145,7,1,,,Ohio St.,College Stats,WilsGa00
1,11,NOR,Chris Olave,WR,22,2023,0,0,1,18,18,31,0,0,0,0,0,0,0,0,159,2165,9,3,,,Ohio St.,College Stats,OlavCh00
1,12,DET,Jameson Williams,WR,21,2023,0,0,0,5,5,18,0,0,0,0,0,4,69,1,25,395,3,,,,Alabama,College Stats,WillJa11
1,16,WAS,Jahan Dotson,WR,22,2023,0,0,1,8,8,29,0,0,0,0,0,2,-7,0,84,1041,11,2,,,Penn St.,College Stats,DotsJa00
1,18,TEN,Treylon Burks,WR,22,2023,0,0,0,6,6,22,0,0,0,0,0,9,65,0,49,665,1,,,,Arkansas,College Stats,BurkTr00
2,34,GNB,Christian Watson,WR,23,2023,0,0,1,11,11,23,0,0,0,0,0,11,91,2,69,1033,12,,,,North Dakota St.,,WatsCh00
2,43,NYG,Wan'Dale Robinson,WR,21,2023,0,0,0,6,6,21,0,0,0,0,0,11,86,1,83,752,2,,,,Kentucky,College Stats,RobiWa01
2,44,HOU,John Metchie,WR,22,2023,0,0,0,1,1,16,0,0,0,0,0,1,4,0,16,158,0,,,,Alabama,College Stats,MetcJo00
2,50,NWE,Tyquan Thornton,WR,22,2023,0,0,1,3,3,22,0,0,0,0,0,6,67,1,35,338,2,2,,,Baylor,College Stats,ThorTy00
2,52,PIT,George Pickens,WR,21,2023,0,0,1,17,17,34,0,0,0,0,0,6,42,1,115,1941,9,1,,,Georgia,College Stats,PickGe00
2,53,IND,Alec Pierce,WR,22,2023,0,0,1,9,9,33,0,0,0,0,0,0,0,0,73,1107,4,,,,Cincinnati,College Stats,PierAl00
2,54,KAN,Skyy Moore,WR,21,2023,0,0,0,4,4,30,0,0,0,0,0,6,47,0,43,494,1,1,,,Western Michigan,College Stats,MoorSk01
3,71,CHI,Velus Jones Jr.,WR,25,2023,0,0,0,3,3,26,0,0,0,0,0,17,154,1,11,127,1,1,,,Tennessee,College Stats,JoneVe00
3,88,DAL,Jalen Tolbert,WR,23,2023,0,0,0,3,3,25,0,0,0,0,0,0,0,0,24,280,2,4,,,South Alabama,College Stats,TolbJa00
3,99,CLE,David Bell,WR,21,2023,0,0,0,3,3,31,0,0,0,0,0,0,0,0,38,381,3,1,,,Purdue,College Stats,BellDa02
3,105,SFO,Danny Gray,WR,23,2022,0,0,0,0,0,13,0,0,0,0,0,1,9,0,1,10,0,,,,SMU,College Stats,GrayDa02
4,125,MIA,Erik Ezukanma,WR,22,2023,0,0,0,0,0,3,0,0,0,0,0,5,22,0,1,3,0,,,,Texas Tech,College Stats,EzukEr00
4,132,GNB,Romeo Doubs,WR,22,2023,0,0,0,11,11,30,0,0,0,0,0,1,11,0,101,1099,11,,,,Nevada,College Stats,DoubRo00
4,138,PIT,Calvin Austin,WR,23,2023,0,0,0,2,2,17,0,0,0,0,0,11,57,1,17,180,1,,,,Memphis,College Stats,AustCa00
5,148,BUF,Khalil Shakir,WR,22,2023,0,0,0,8,8,31,0,0,0,0,0,1,10,0,49,772,3,1,,,Boise St.,College Stats,ShakKh00
5,162,DEN,Montrell Washington,WR,23,2023,0,0,0,0,0,21,0,0,0,0,0,5,30,0,4,2,0,,,,Samford,,WashMo00
5,163,TEN,Kyle Philips,WR,23,2023,0,0,0,3,3,13,0,0,0,0,0,0,0,0,23,259,0,,,,UCLA,College Stats,PhilKy01
6,191,MIN,Jalen Nailor,WR,23,2023,0,0,0,1,1,21,0,0,0,0,0,0,0,0,12,208,1,4,,,Michigan St.,College Stats,NailJa00
6,202,CLE,Michael Woods II,WR,22,2022,0,0,0,0,0,10,0,0,0,0,0,1,-5,0,5,45,0,1,,,Oklahoma,College Stats,WoodMi00
7,229,SEA,Bo Melton,WR,23,2023,0,0,0,2,,5,0,0,0,0,0,3,21,0,16,218,1,1,,,Rutgers,College Stats,MeltBo00
7,233,SEA,Dareke Young,WR,23,2023,0,0,0,0,0,19,0,0,0,0,0,0,0,0,2,24,0,6,,,Lenoir-Rhyne,,YounDa02
7,258,GNB,Samori Toure,WR,24,2023,0,0,0,2,2,22,0,0,0,0,0,0,0,0,13,160,1,,,,Nebraska,College Stats,TourSa00
